IPTV,#genre#
星光影院,http://php.jdshipin.com:8880/bst.php?id=xgyy8m/8000000
全球大片,http://php.jdshipin.com:8880/bst.php?id=qqdp8m/8000000
热门剧场,http://php.jdshipin.com:8880/bst.php?id=rmjc8m/8000000
谍战剧场,http://php.jdshipin.com:8880/bst.php?id=dzjc8m/8000000
青春动漫,http://php.jdshipin.com:8880/bst.php?id=qcdm8m/8000000
宝宝动画,http://php.jdshipin.com:8880/bst.php?id=bbdh8m/8000000
戏曲精选,http://php.jdshipin.com:8880/bst.php?id=xqjx8m/8000000
热门综艺,http://php.jdshipin.com:8880/bst.php?id=rmzy8m/8000000
超级体育,http://php.jdshipin.com:8880/bst.php?id=qcsj8m/8000000
健康养生,http://php.jdshipin.com:8880/bst.php?id=jkys8m/8000000
百变课堂,http://php.jdshipin.com:8880/bst.php?id=bbkt8m/8000000
看天下精选,http://php.jdshipin.com:8880/bst.php?id=ktxjx8m/8000000
电竞天堂,http://php.jdshipin.com:8880/bst.php?id=djtt8m/8000000
足球高清,http://php.jdshipin.com:8880/bst.php?id=zqpd8m/8000000
中国天气,http://php.jdshipin.com:8880/bst.php?id=zgqx/1300000
财富天下,http://php.jdshipin.com:8880/bst.php?id=cftx/2500000

广东少儿,http://112.91.153.50:9901/tsfile/live/0118_1.m3u8
嘉佳卡通,http://112.91.153.50:9901/tsfile/live/0016_1.m3u8
广东卫视,http://112.91.153.50:9901/tsfile/live/0116_1.m3u8
北京卫视,http://112.91.153.50:9901/tsfile/live/0122_1.m3u8
湖南卫视,http://112.91.153.50:9901/tsfile/live/0128_1.m3u8
东方卫视,http://112.91.153.50:9901/tsfile/live/0107_1.m3u8
江苏卫视,http://112.91.153.50:9901/tsfile/live/0127_1.m3u8
浙江卫视,http://112.91.153.50:9901/tsfile/live/0124_1.m3u8
东南卫视,http://112.91.153.50:9901/tsfile/live/0137_1.m3u8
湖北卫视,http://112.91.153.50:9901/tsfile/live/0132_1.m3u8
四川卫视,http://112.91.153.50:9901/tsfile/live/0123_1.m3u8
天津卫视,http://112.91.153.50:9901/tsfile/live/0135_1.m3u8
深圳卫视,http://112.91.153.50:9901/tsfile/live/0126_1.m3u8
安徽卫视,http://112.91.153.50:9901/tsfile/live/0130_1.m3u8
江西卫视,http://112.91.153.50:9901/tsfile/live/0138_1.m3u8
山东卫视,http://112.91.153.50:9901/tsfile/live/0131_1.m3u8
辽宁卫视,http://112.91.153.50:9901/tsfile/live/0121_1.m3u8
贵州卫视,http://112.91.153.50:9901/tsfile/live/0120_1.m3u8
黑龙江卫视,http://112.91.153.50:9901/tsfile/live/0143_1.m3u8
重庆卫视,http://112.91.153.50:9901/tsfile/live/0142_1.m3u8
云南卫视,http://112.91.153.50:9901/tsfile/live/0119_1.m3u8
河北卫视,http://112.91.153.50:9901/tsfile/live/0117_1.m3u8
河南卫视,http://112.91.153.50:9901/tsfile/live/0139_1.m3u8
广西卫视,http://112.91.153.50:9901/tsfile/live/0113_1.m3u8

#bst
翡翠台,http://bziyunshao.synology.me:8889/bysid/1
ViuTV6,http://bziyunshao.synology.me:8889/bysid/96
ViuTV,http://bziyunshao.synology.me:8889/bysid/99
明珠台,http://bziyunshao.synology.me:8890/bysid/2
J2,http://bziyunshao.synology.me:8890/bysid/82
無綫新聞台,http://bziyunshao.synology.me:8890/bysid/83
無綫財經,http://bziyunshao.synology.me:8890/bysid/85
國際財經台,http://bziyunshao.synology.me:8891/bysid/76
HOY TV,http://bziyunshao.synology.me:8891/bysid/77
HOY 資訊台,http://bziyunshao.synology.me:8891/bysid/78
港台電視 31,http://bziyunshao.synology.me:8892/bysid/31
港台電視 32,http://bziyunshao.synology.me:8892/bysid/32
CCTV1,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV7,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225778/1.m3u8
CCTV8,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV9,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV13,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV16,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV17,http://108m64s098.yicp.fun:8808/rtp/239.77.1.121:5146

#ZU
CCTV1,http://108m64s098.yicp.fun:8808/rtp/239.77.0.86:5146
CCTV2,http://108m64s098.yicp.fun:8808/rtp/239.77.1.158:5146
CCTV3,http://108m64s098.yicp.fun:8808/rtp/239.77.0.169:5146
CCTV4,http://108m64s098.yicp.fun:8808/rtp/239.77.1.163:5146
CCTV5,http://108m64s098.yicp.fun:8808/rtp/239.77.0.170:5146
CCTV5+,http://108m64s098.yicp.fun:8808/rtp/239.77.0.87:5146
CCTV6,http://108m64s098.yicp.fun:8808/rtp/239.77.0.171:5146
CCTV7,http://108m64s098.yicp.fun:8808/rtp/239.77.1.159:5146
CCTV8,http://108m64s098.yicp.fun:8808/rtp/239.77.0.172:5146
CCTV9,http://108m64s098.yicp.fun:8808/rtp/239.77.1.160:5146
CCTV10,http://108m64s098.yicp.fun:8808/rtp/239.77.1.113:5146
CCTV11,http://108m64s098.yicp.fun:8808/rtp/239.77.1.238:5146
CCTV12,http://108m64s098.yicp.fun:8808/rtp/239.77.1.109:5146
CCTV13,http://108m64s098.yicp.fun:8808/rtp/239.77.0.188:5146
CCTV14,http://108m64s098.yicp.fun:8808/rtp/239.77.1.161:5146
CCTV15,http://108m64s098.yicp.fun:8808/rtp/239.77.1.239:5146
CCTV16,http://108m64s098.yicp.fun:8808/rtp/239.77.0.165:5146
北京卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.4:5146
浙江卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.33:5146
湖南卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.5:5146
江苏卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.18:5146
安徽卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.92:5146
东方卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.218:5146
东南卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.104:5146
